"ID","Name","Existing practice","Existing muscle assignments","Every qualifying new category","Primary scheduling category","Training rationale","Decision","Demonstration or naming concerns","Confidence"
"224","Alternating Karate Downward Sweep Block (Gedan-Barai)","Karate","Shoulders;Forearms;Triceps;RotatorCuff","Balance;Strength;Stepping","Stepping","Repeated advancing and retreating long-stance blocks combine deliberate stepping with bodyweight leg loading and dynamic postural control.","Keep","The integrated step sequence should be retained because an in-place arm block would not qualify.","High"
"225","Alternating Karate Knife-Hand Block (Shuto-Uke)","Karate","Shoulders;Forearms;Triceps;RotatorCuff","Balance;Strength;Stepping","Stepping","The demonstrated advancing stance sequence trains controlled foot placement; weight transfer; and bent-knee leg endurance.","Keep","Label omits the qualifying step-and-long-stance component.","High"
"227","Standing Palm-Press Pulses","Self-resistance","Shoulders;Chest;Forearms;Triceps","Strength","Strength","Opposing palms provide bilateral self-resistance through repeated pressing contractions.","Keep","Pressure is visually unverifiable; cue a deliberate pain-free effort.","High"
"228","Alternating Boxing Cross","Boxing","Forearms;Triceps","","","Foot pivots and unloaded crosses do not constitute meaningful stepping or resistance and isolated punches do not meet Stamina.","Remove","Accurate human shadowboxing clip but no qualifying dose.","High"
"229","Alternating Boxing Uppercut","Boxing","Shoulders;Forearms;Biceps","","","The unloaded stationary uppercut pattern does not meaningfully train any frozen capacity.","Remove","Accurate technique demonstration but no resistance or purposeful steps.","High"
"230","Alternating Boxing Overhand","Boxing","Shoulders;Chest;Forearms;Triceps","","","An unloaded stationary overhand remains below the strength and stamina thresholds.","Remove","Large trunk motion is present but still lacks resistance or sustained large-muscle work.","High"
"231","Alternating Karate Reverse Punch","Karate","Shoulders;Chest;Forearms;Triceps","Stepping","Stepping","The demonstration appears to change weight-bearing stance between alternating punches and can train step initiation and termination.","Reconsider","The qualifying step is not named and a user could reasonably perform stationary punches instead.","Medium"
"232","Alternating Karate Knife-Hand Chop","Karate","Shoulders;Forearms;Triceps","","","The unloaded arm chop and ordinary stance do not provide a qualifying capacity stimulus.","Remove","Human demo matches the strike but does not clearly prescribe meaningful steps.","High"
"233","Alternating Karate Ridge-Hand Strike (Haito-Uchi)","Karate","Shoulders;Forearms;Triceps","","","The unresisted strike is a skill pattern without meaningful force loading or locomotor content.","Remove","Accurate human technique clip but no capacity dose.","High"
"234","Alternating Karate Flat-Fist Strike (Hiraken)","Karate","Shoulders;Forearms;Triceps","","","Alternating unloaded strikes in a stable stance do not meet the frozen thresholds.","Remove","Foot-position changes are not a prescribed step sequence.","High"
"236","Alternating Karate Spear-Hand Strike (Nukite)","Karate","Shoulders;Forearms;Triceps","","","The unloaded stationary spear-hand action does not meaningfully train strength or stamina.","Remove","Accurate human demonstration but no qualifying capacity dose.","High"
"237","Forearm Pronation and Supination","Standing mobility and movement practice","Forearms","Mobility","Mobility","Full pronation and supination can deliberately approach meaningful forearm rotational end range.","Remove","Only one arm is demonstrated and the label does not prescribe bilateral or naturally alternating execution.","High"
"238","Prayer-Hand Stretch","Stretching","Forearms","Mobility","Mobility","The bilateral prayer position deliberately loads wrist extension near end range.","Keep","Hold playback must settle and remain at the final stretch position.","High"
"239","Ninja Fireball Hand-Seal Sequence","Ninja hand-seal coordination","Forearms","","","The hand-seal sequence trains a skill form but none of the frozen physical-capacity categories at meaningful dose.","Remove","Accurate human demonstration does not compensate for absent endpoint-relevant stimulus.","High"
"240","Ninja Shadow-Possession Hand-Seal Sequence","Ninja hand-seal coordination","Forearms","","","Unresisted hand sequencing does not meet any frozen category threshold.","Remove","Human clip is exact but the activity is a fine-motor pattern outside this taxonomy.","High"
"241","Ninja Water-Dragon 44 Hand-Seal Sequence","Ninja hand-seal coordination","Forearms","","","The long hand-seal sequence remains fine-motor rehearsal rather than meaningful strength; mobility; stamina; balance; or stepping.","Remove","The name references 44 seals but the short clip cannot establish a complete repeatable prescription.","High"
"242","Ninja Shadow-Clone Hand-Seal Sequence","Ninja hand-seal coordination","Forearms","","","The unresisted hand sequence does not genuinely train any frozen capacity.","Remove","Accurate human form demonstration but no qualifying physical dose.","High"
"245","Alternating Karate Rising Block (Age-Uke)","Karate","Shoulders;Forearms;Triceps;Biceps;RotatorCuff","Balance;Strength;Stepping","Stepping","Repeated advancing blocks into bent long stances train weight-bearing step sequencing; dynamic weight transfer; and lower-limb endurance.","Keep","The name should preserve or state the integrated steps because arm-only blocks would not qualify.","High"
"246","Alternating Karate Outside Block (Soto-Uke)","Karate","Shoulders;Forearms;Triceps;Biceps;RotatorCuff","Balance;Strength;Stepping","Stepping","The demonstrated repeated steps into long stances provide meaningful stepping; postural-control; and bodyweight leg loading.","Keep","The qualifying advancing stance sequence is not explicit in the name.","High"
"248","Standing Palm-Press Hold","Self-resistance","Shoulders;Chest;Forearms;Triceps","Strength","Strength","A forceful bilateral palm press supplies scalable isometric pushing strength.","Keep","Effort cannot be seen; cue deliberate pressure and freeze the hold on the final position.","High"
"301","Large Arm Sweep Up and Down","Standing mobility and movement practice","Shoulders;Trapezius;RotatorCuff","Mobility","Mobility","Controlled sweeps from the sides to overhead deliberately approach shoulder-elevation end range.","Keep","None.","High"
"303","Alternating Arm-Circle Squat with Cross Tap","Bodyweight conditioning","Glutes;Quadriceps;Shoulders;RotatorCuff","Balance;Strength;Stamina","Strength","Repeated squats load the legs; continuous large-muscle work can elevate breathing; and the cross-tap creates brief crossed-base postural demand.","Keep","The cross tap is not weight-bearing enough to count as Stepping.","High"
"311","Low-Impact Standing Jack","Bodyweight conditioning","Calves;Shins","Stamina;Stepping","Stamina","Continuous lateral step-jacks with arm elevation provide rhythmic whole-body conditioning and repeated lateral step control.","Keep","None.","High"
"314","Alternating Forward Lunge with Biceps Curl","Bodyweight conditioning","Glutes;Quadriceps;HipFlexors;Biceps","Balance;Strength;Stamina;Stepping","Strength","Alternating weight-bearing lunges train leg strength; dynamic balance; forward step control; and continuous large-muscle conditioning.","Keep","The arms are unloaded so Biceps Curl overstates their training effect; rename it as an arm curl or omit that claim.","High"
"315","Side-Step Squat with Overhead Reach","Bodyweight conditioning","Glutes;Quadriceps;Trapezius","Strength;Stamina;Stepping","Strength","Repeated lateral steps into squats combine meaningful leg loading with multidirectional stepping and sustained large-muscle work.","Keep","None.","High"
"321","Alternating Cross-Step Arms Raise","Standing mobility and movement practice","Shoulders;Adductors;Abductors","Balance;Stepping","Stepping","Alternating crossed foot placements require purposeful sequencing and create a narrowed changing base.","Keep","Verify that the demonstrated cross-step remains weight-bearing rather than becoming only a toe tap.","High"
"326","Wide-Stance Alternating Straight Punches","Standing mobility and movement practice","Shoulders;Chest;Adductors;Forearms;Triceps","","","A wide stable stance plus unloaded punches does not meaningfully train any frozen capacity.","Remove","The athletic presentation overstates the actual training dose.","High"
"327","First-Position Standing Row","Standing mobility and movement practice","UpperBack;Shoulders;MidBack;Trapezius;Biceps;RotatorCuff","","","The unresisted mid-range arm pull lacks meaningful strength load; first-position standing alone is not a genuine balance challenge.","Remove","The name Row implies resistance that the demonstration does not provide.","High"
"329","Qigong Gathering Qi","Qigong","Shoulders;RotatorCuff","Mobility","Mobility","Slow bilateral arm arcs deliberately move the shoulders through full overhead elevation.","Keep","The metaphorical name does not communicate the shoulder-range intent but the human demonstration is clear.","High"
"338","Alternating High-Low Punches","Standing mobility and movement practice","Shoulders;Chest;Forearms","","","Unloaded high-low punches in an ordinary stance do not meet Strength or Stamina thresholds.","Remove","Accurate human pattern but no qualifying dose.","High"
"340","Low-Impact Jack with Alternating Punches","Standing mobility and movement practice","Shoulders;Chest;Calves;Forearms;Shins","Stamina;Stepping","Stamina","Continuous step-jacks provide rhythmic whole-body conditioning and repeated lateral step sequencing; the punches are incidental.","Keep","Do not treat the unloaded punches as a Strength stimulus.","High"
"341","Squat with Alternating Straight Punches","Bodyweight conditioning","Glutes;Quadriceps;Shoulders;Chest;Forearms;Triceps","Strength;Stamina","Strength","Repeated squats create meaningful lower-body loading and continuous large-muscle work over 45 seconds can elevate breathing.","Keep","The unloaded punches do not independently qualify as Strength.","High"
"367","Tai Chi Wave Hands Like Clouds","Tai Chi","Shoulders;MidBack;Forearms;RotatorCuff","Balance","Balance","Sustained lateral weight transfers in a bent-knee stance create a genuine dynamic postural-control demand.","Keep","The reviewed clip shifts weight without a clear step sequence so it should not be tagged Stepping.","High"
"377","Qigong Lifting the Sky","Qigong","Shoulders;Trapezius;RotatorCuff","Mobility","Mobility","Slow bilateral reaches deliberately move the shoulders into overhead end range.","Keep","None.","High"
"379","Alternating Qigong Drawing the Bow","Qigong","UpperBack;Shoulders;MidBack;Forearms;Biceps;RotatorCuff","Balance","Balance","Slow lateral transfers in a bent stance can challenge control of the center of mass.","Reconsider","The bow gesture is unresisted and does not train Strength; the Balance dose depends heavily on stance depth and transfer amplitude.","Medium"
"389","First-Position Heel Raise with Elbow Pull-Down","Standing mobility and movement practice","UpperBack;Shoulders;Calves;Trapezius;Biceps","Balance;Strength","Strength","Repeated forefoot rises load the calves while the narrow first-position base creates postural-control demand.","Keep","The unloaded elbow pull-down does not independently train upper-body Strength.","High"
"409","Neck Controlled Articular Rotation","Standing mobility and movement practice","Neck","Mobility","Mobility","A controlled articular rotation deliberately explores cervical end range in multiple planes.","Keep","Execution should remain slow and pain-free rather than forcing range.","High"
"422","Cervical Flexion Isometric","Standing mobility and movement practice","Neck","Strength","Strength","Manual self-resistance provides a meaningful isometric cervical-flexor force stimulus.","Keep","Pressure level is invisible; cue controlled submaximal pain-free resistance.","High"
"423","Cervical Extension Isometric","Standing mobility and movement practice","Neck","Strength","Strength","Hands against the head provide a meaningful isometric cervical-extensor resistance.","Keep","Pressure level is invisible; cue controlled submaximal pain-free effort.","High"
"425","Chin-Tuck Isometric","Standing mobility and movement practice","Neck","Strength","Strength","A deliberately held chin tuck can train deep-neck-flexor force endurance.","Remove","The asset is effectively a static instructional still and does not demonstrate the setup or make the intended isometric action legible.","High"
"467","Alternating Eight-Brocades Wise Owl Gazes Backward","Standing mobility and movement practice","Neck","Mobility","Mobility","Alternating controlled backward gazes deliberately approach cervical rotation end range.","Keep","Long name is precise; retain explicit alternation.","High"
"474","Ballet Spotting Drill","Ballet","Neck","Balance;Stepping","Balance","Repeated body turns with head spotting train dynamic postural control and turn-step sequencing.","Reconsider","The name does not explicitly require both turn directions; verify alternating direction to satisfy the bilateral rule.","Medium"
"475","Jazz Head Isolation","Standing mobility and movement practice","Neck","Mobility","Mobility","The demonstrated directional isolations take the cervical spine through deliberate controlled ranges.","Keep","The name does not enumerate the sequence or amplitude; the demo must remain legible in the app crop.","Medium"
"477","Dance Head Roll","Standing mobility and movement practice","Neck","Mobility","Mobility","A controlled head roll can explore multi-planar cervical range.","Reconsider","Large cervical circles may be uncomfortable and neither direction alternation nor pain-free range is specified.","Medium"
"481","Quarter-Turn Spotting Drill","Standing mobility and movement practice","Neck","Balance;Stepping","Stepping","Repeated quarter turns train initiation and termination of turning steps together with dynamic postural control.","Reconsider","Verify and name alternation in both turn directions.","Medium"
"482","Continuous Spot-Turn Drill","Standing mobility and movement practice","Neck","Balance;Stepping","Stepping","Continuous in-place turns require repeated turn-step sequencing and postural control.","Reconsider","Direction alternation is unclear and continuous one-direction turning can provoke dizziness.","Medium"
"483","Pirouette Spotting Drill","Ballet","Neck","Balance;Stepping","Balance","Pirouette preparation and turning impose a substantial rotational balance and foot-placement challenge.","Reconsider","Advanced fall demand and unclear turn-direction alternation make it unsuitable without a clearer bilateral prescription.","Medium"
"490","Bharatanatyam Alolita Shiro","Bharatanatyam","Neck","Mobility","Mobility","The circular head action deliberately moves through multi-planar cervical range.","Reconsider","The 5.75-second clip may demonstrate only one circle direction; alternation and pain-free limits are not explicit.","Medium"
"491","Bharatanatyam Dhuta Shiro","Bharatanatyam","Neck","Mobility","Mobility","Controlled side-to-side head rotation deliberately approaches cervical rotational range in both directions.","Keep","Very short clip; verify that looping remains smooth and does not encourage rushed motion.","High"
"492","Bharatanatyam Kampita Shiro","Bharatanatyam","Neck","Mobility","Mobility","Controlled nodding deliberately explores cervical flexion and extension range.","Keep","Very short clip; verify a smooth loop and controlled rather than rapid range.","High"
"493","Alternating Bharatanatyam Paravritta Shiro","Bharatanatyam","Neck","","","Small choreographic neck isolation does not meaningfully challenge usable range, force, balance, stamina, or stepping.","Remove","Human movement is visible, but the specialist name is opaque and the demonstrated excursion is too small to establish training value.","High"
"495","Bharatanatyam Parivahita Shiro","Bharatanatyam","Neck","","","Small choreographic head motion does not meaningfully train any frozen capacity.","Remove","Subtle movement and specialist naming make the action hard to understand; it is not an explicit end-range stretch.","High"
"497","Odissi Sundari Griva","Odissi","Neck","","","Small neck glide is choreography rather than a meaningful mobility or endurance stimulus.","Remove","Human demonstration is clear enough, but the motion is tiny and the name gives an unfamiliar user no usable instruction.","High"
"499","Bharatanatyam Tiraschina Griva","Bharatanatyam","Neck","","","Small choreographic neck isolation does not meet the threshold for meaningful mobility training.","Remove","Specialist naming and limited excursion; should not qualify merely because the neck moves.","High"
"500","Bharatanatyam Parivartita Griva","Bharatanatyam","Neck","","","Small choreographic neck circle does not provide a defensible dose in any frozen category.","Remove","The human demonstration is readable, but the movement remains a low-stimulus isolation.","High"
"512","Scapular Protraction","Standing mobility and movement practice","UpperBack;Shoulders;Trapezius;RotatorCuff","Mobility","Mobility","Active scapular excursion can train usable shoulder-girdle movement, but the unloaded action is not strength work.","Keep","Movement is subtle and may be difficult to perceive on a phone-sized demonstration.","Medium"
"513","Scapular Retraction","Standing mobility and movement practice","UpperBack;Shoulders;MidBack;Trapezius;RotatorCuff","Mobility","Mobility","Repeated active scapular retraction trains shoulder-girdle excursion without enough resistance to count as strength.","Keep","Rear-view demonstration is subtle; visible range and coaching clarity should be reviewed.","Medium"
"516","Shoulder Shrug","Standing mobility and movement practice","Shoulders;Trapezius","Mobility","Mobility","Shoulder elevation and depression provide a narrow active-mobility stimulus; no-load shrugging is not meaningful strength work.","Reconsider","Very limited range and low training dose make this borderline and visually underwhelming.","Medium"
"544","Standing Overhead Slam","Bodyweight conditioning","Shoulders;Trapezius;Triceps","Strength;Stamina","Strength","Repeated squat-to-extension action trains lower-body strength and power while involving enough large-muscle movement to challenge stamina.","Keep","The name normally implies a medicine-ball slam, while the clip shows an equipment-free squat and arm sweep; rename for accuracy.","High"
"572","Alternating Tai Chi White Crane Opens Wings","Tai Chi","Shoulders;RotatorCuff","Balance;Stepping;Mobility","Balance","Controlled weight transfer, foot repositioning, and changing arm and trunk positions meaningfully train dynamic balance, stepping, and mobility.","Keep","Sequence is more complex than the name alone conveys, but the full-body human demonstration is readable.","High"
"573","Alternating Tai Chi Single Whip","Tai Chi","Shoulders;MidBack;RotatorCuff","Balance;Stepping;Mobility","Balance","Deliberate multidirectional weight shifts and steps train postural control while the trunk and shoulders move through useful range.","Keep","Specialist form name may be unfamiliar; demonstration must remain the primary instruction.","High"
"576","Qigong Crane-Wing Shoulder Lift","Qigong","Shoulders;Trapezius;RotatorCuff","Balance;Mobility","Balance","The demonstrated flowing weight shifts and upper-body excursion can challenge postural control and shoulder mobility.","Reconsider","Name understates the full-body sequence, alternation is not obvious, and the exact intended pattern is comparatively hard to follow.","Medium"
"577","Qigong Swimming-Dragon Shoulder Roll","Qigong","Shoulders;Trapezius;RotatorCuff","Mobility","Mobility","Large coordinated shoulder and trunk circles provide a genuine active-mobility challenge.","Keep","Outdoor footage is visually cluttered and lower resolution, though the movement remains understandable.","Medium"
"588","Belly-Dance Alternating Shoulder Roll","Belly dance","Shoulders;Trapezius;RotatorCuff","Mobility","Mobility","Alternating shoulder rolls move the shoulder girdle through active circular range, but offer only a modest mobility dose.","Reconsider","Close crop and small excursion make the exercise less legible and less substantial than stronger mobility options.","Medium"
"591","Bharatanatyam Natyarambhe Hold","Bharatanatyam","Shoulders;Trapezius;RotatorCuff","Strength","Strength","Holding both arms horizontally for 45 seconds creates meaningful shoulder local muscular endurance.","Keep","Dim footage, but the bilateral human posture and configured hold frame are accurate.","High"
"608","Hip Circle","Standing mobility and movement practice","Core;Abductors","Mobility","Mobility","Controlled broad pelvic and hip circles train usable lumbopelvic and hip range.","Keep","Torso-focused crop omits parts of the body, but the intended circular movement is clearly visible.","High"
"617","Alternating Standing Forward Side-Leg Circles","Standing mobility and movement practice","Abductors","Balance;Strength;Mobility","Balance","Forward circles of the unsupported leg challenge single-leg postural control, hip local endurance, and active hip range.","Keep","The exact forward direction and mirrored side phase remain clear.","High"
"620","Alternating Standing Backward Side-Leg Circles","Standing mobility and movement practice","Abductors","Balance;Strength;Mobility","Balance","Backward circles of the unsupported leg challenge single-leg postural control, hip local endurance, and active hip range in the opposite direction.","Keep","The source explicitly reverses before this clean segment; the mirrored second phase supplies the other leg.","High"
"626","Sumo Stance","Standing mobility and movement practice","Adductors","Strength;Mobility","Strength","A deep wide squat hold meaningfully trains lower-body local endurance while exposing the hips to a wide stance and depth.","Keep","Name should ideally say that this is a hold; configured frame clearly shows the intended position.","High"
"632","Alternating Hip-Flexor Side Stretch","Stretching","HipFlexors","Mobility","Mobility","Alternating split and lateral reaching positions meaningfully train hip-flexor and trunk range.","Keep","Name is somewhat imprecise, but the human demonstration clearly shows the repeated stretch pattern.","High"
"636","Alternating Deadlift Kickback","Bodyweight conditioning","Glutes;Core;Hamstrings;LowerBack","Balance;Strength;Mobility","Balance","The unsupported hinge and rear-leg action challenge balance, posterior-chain local strength, and hip-hinge range.","Keep","Human demonstration is accurate and naturally alternating.","High"
"647","Alternating Kickback with Sky Punch","Bodyweight conditioning","Glutes;Hamstrings;Shoulders;Chest","Balance;Stamina","Stamina","Continuous alternating leg and arm action can provide modest rhythmic whole-body demand with brief single-leg control.","Reconsider","Small kickback and unloaded punch provide little strength stimulus; overall challenge may be too low to justify catalog space.","Medium"
"648","Alternating Standing Back-Leg Lift","Standing mobility and movement practice","Glutes;Hamstrings;LowerBack","Balance;Strength","Balance","Unsupported alternating hip extension trains single-leg control and hip-extensor local endurance.","Keep","Demonstration is clear; avoid claiming meaningful lower-back strengthening from the unloaded leg lift.","High"
"649","Alternating Standing Side-Leg Raise","Bodyweight conditioning","Abductors","Balance;Strength;Mobility","Balance","Unsupported leg abduction trains single-leg stability, hip-abductor local endurance, and active abduction range.","Keep","Mirrored presentation is noticeable but does not obscure the exercise.","High"
"654","Alternating Sideward-and-Backward Kick","Standing mobility and movement practice","Quadriceps;Abductors","Balance;Strength;Mobility","Balance","Multidirectional unsupported kicks train dynamic balance, leg force control, and active hip range.","Keep","On-screen source labels add some visual noise, but the alternating pattern is clear.","High"
"666","Alternating Ballet Arabesque","Ballet","Glutes;Hamstrings;LowerBack","Balance;Strength;Mobility","Balance","Alternating unsupported arabesques strongly challenge postural control, posterior-chain endurance, and active hip extension.","Keep","Accurate full-body human demonstration; no material concern.","High"
"677","Alternating Belly-Dance Hip Drop","Belly dance","Glutes;Abductors","","","Small hip isolation does not meaningfully train a frozen capacity at the demonstrated range and load.","Remove","Choreography is accurately shown, but it should not qualify merely because the pelvis moves.","High"
"678","Alternating Belly-Dance Hip Lift","Belly dance","Glutes;Abductors","","","Small hip isolation lacks a meaningful mobility, strength, balance, stamina, or stepping challenge.","Remove","Very small excursion and low training dose.","High"
"681","Belly-Dance Horizontal Figure Eight","Belly dance","Core","","","The demonstrated pelvic figure eight is too small and low-load to establish meaningful training of a frozen capacity.","Remove","Could provide movement practice, but the clip does not show enough range to justify Mobility.","Medium"
"683","Belly-Dance Umi","Belly dance","Core","","","Small pelvic isolation does not clear the meaningful-training threshold.","Remove","Specialist name is opaque and the visible movement is subtle.","Medium"
"684","Belly-Dance Maya","Belly dance","Core","","","The isolated hip pathway is choreography with insufficient range or loading for the frozen categories.","Remove","Human demonstration is present, but the stimulus is uncertain and visually subtle.","Medium"
"685","Belly-Dance Taqsim","Belly dance","Core","","","The low-load pelvic isolation does not meaningfully train any frozen capacity.","Remove","Specialist naming and small movement make it unsuitable as a simple guided exercise.","Medium"
"686","Belly-Dance Hip Twist","Belly dance","Core;Abductors","","","Small unloaded hip twisting does not provide a defensible mobility or conditioning dose.","Remove","Torso crop and subtle motion; choreography alone is not sufficient qualification.","High"
"687","Belly-Dance Hip Shimmy","Belly dance","Glutes;Abductors","","","A tiny rapid hip isolation is neither a robust stamina exercise nor meaningful strength or mobility training.","Remove","Three-second source loop is especially weak and the motion is difficult to read during app playback.","High"
"712","Thoracic Expansion Hold","Standing mobility and movement practice","UpperBack;Shoulders;Chest;MidBack;Trapezius;RotatorCuff","Mobility","Mobility","The held shoulder-extension and chest-opening position can train upper-body mobility.","Keep","Postural change is subtle and the broad name gives little setup guidance; configured final frame is nevertheless appropriate.","Medium"
"733","Alternating Side Lunge with Chest Push","Bodyweight conditioning","Glutes;Quadriceps;Shoulders;Chest;HipFlexors;Triceps","Strength;Stamina;Stepping;Mobility","Stepping","Repeated lateral foot placement and return train multidirectional stepping, with lower-body strength, whole-body stamina, and adductor mobility demand.","Keep","Unresisted chest push should not be interpreted as meaningful chest or triceps strength work.","High"
"740","Clasped-Hand Upper-Back Stretch","Stretching","UpperBack;MidBack;Trapezius;RotatorCuff","Mobility","Mobility","The clasped-arm reach and thoracic rounding provide a clear upper-back and shoulder-girdle mobility stimulus.","Keep","Configured hold frame accurately captures the final position.","High"
"741","Alternating Cross-Body Shoulder Stretch","Stretching","Shoulders;RotatorCuff","Mobility","Mobility","Alternating assisted cross-body positioning trains shoulder range.","Keep","Accurate human demonstration; source captions add minor noise only.","High"
"742","Alternating Overhead Triceps Stretch","Stretching","Shoulders;Trapezius;Triceps","Mobility","Mobility","Alternating overhead elbow-flexion positions train shoulder and triceps-associated range.","Keep","Accurate human demonstration and clear alternation.","High"
"743","Clasped-Hands-Behind-Back Chest Opener","Stretching","UpperBack;Shoulders;Chest;RotatorCuff","Mobility","Mobility","The clasped-behind-back position meaningfully trains shoulder extension and anterior-shoulder or chest range.","Keep","Configured hold frame accurately shows the intended end position.","High"
"744","Alternating Standing Figure-Four Glute Stretch","Stretching","Glutes;Abductors","Balance;Strength;Mobility","Balance","Unsupported figure-four positions challenge single-leg balance, supporting-leg endurance, and hip range.","Keep","Human demonstration is accurate; transitions are long but alternation is visible.","High"
"745","Dynamic Hug","Standing mobility and movement practice","UpperBack;Shoulders;Chest;RotatorCuff","Mobility","Mobility","Repeated horizontal arm opening and closing provides a modest active shoulder and chest mobility stimulus.","Reconsider","Large source text, tight crop, and shallow movement make this less useful than clearer shoulder-mobility options.","Medium"
"746","Alternating Staggered Calf-and-Ankle Stretch","Stretching","Calves;Shins","Mobility","Mobility","Alternating staggered positions train ankle dorsiflexion and calf range.","Keep","Source captions are visible, but the stretch and side change are clear.","High"
"747","Alternating Standing Quad Stretch","Stretching","Quadriceps","Balance;Mobility","Balance","Unsupported foot-to-hand quad stretches train single-leg postural control and knee or hip range.","Keep","Accurate naturally alternating human demonstration.","High"
"748","Alternating Wide-Stance Groin-Hamstring Shift","Stretching","Hamstrings;Adductors","Strength;Mobility","Mobility","Loaded side-to-side shifts expose the adductors and hamstrings to useful range while requiring lower-body local force.","Keep","Hands rest on the thighs, but no external support or equipment is used.","High"
"750","Alternating Heel-Forward Hamstring Stretch","Stretching","Hamstrings","Mobility","Mobility","Alternating heel-forward hinges provide a clear hamstring and posterior-chain mobility challenge.","Keep","Accurate human demonstration; no material concern.","High"
"751","Alternating Neck Side Stretch","Stretching","Neck","Mobility","Mobility","Deliberate alternating lateral-flexion stretches reach a clear cervical end range, unlike the small dance isolations.","Keep","Name and human demonstration agree; movement remains readable.","High"
"752","Alternating Straight-Arm Wrist Stretch","Stretching","Forearms","Mobility","Mobility","Assisted alternating wrist positioning trains distal joint range, though its relationship to whole-body independence is comparatively weak.","Reconsider","Narrow distal focus and limited transfer make this a weak representative of the broad Mobility family.","Medium"
"784","Extended Mountain Pose","Yoga","Chest;Trapezius","Balance;Strength;Mobility","Balance","The raised-heel overhead hold challenges postural control, calf local endurance, and overhead shoulder range.","Keep","Configured hold frame correctly captures both heel elevation and overhead reach.","High"
"804","Alternating Arms-Spread Torso Twist","Bodyweight conditioning","Core;Shoulders;MidBack","Mobility","Mobility","Repeated trunk rotation with arms extended trains usable thoracic and shoulder range.","Keep","Minor source-edge text, but the full movement is clear.","High"
"816","Torso Circle","Standing mobility and movement practice","Core;LowerBack","Mobility","Mobility","Large controlled trunk circles train multiplanar spinal and hip-associated range.","Keep","Outdoor background and embedded title create visual noise, but the motion is legible.","High"
"818","Standing Cat-Cow","Standing mobility and movement practice","UpperBack;LowerBack;MidBack","Mobility","Mobility","Repeated standing spinal flexion and extension provides a clear spinal-mobility stimulus.","Remove","Hands remain supported on the thighs throughout the movement; this violates the no hand-supported-work constraint.","High"
"825","Alternating Deadlift with Body Twist","Bodyweight conditioning","Glutes;Core;Hamstrings;LowerBack","Strength;Stamina","Strength","Repeated hinges or squat-like reaches and trunk turns train lower-body and trunk local strength with meaningful whole-body rhythmic demand.","Keep","Human demonstration is accurate; bodyweight loading limits maximal-strength claims.","High"
"831","Alternating Knee-Up Reverse Fly","Bodyweight conditioning","Core;UpperBack;Shoulders;HipFlexors;MidBack;RotatorCuff","Balance;Stepping;Stamina","Balance","Alternating knee lifts create repeated single-support control, foot clearance, and rhythmic whole-body activity.","Keep","The unloaded reverse-fly arm action does not meaningfully strengthen the upper back despite the name.","High"
"834","Alternating Cross-Step Lat Pulldown","Standing mobility and movement practice","UpperBack;Shoulders;Adductors;Abductors;MidBack;Trapezius;Biceps","Balance;Stepping;Stamina","Stepping","Repeated cross-steps train directional foot placement, dynamic balance, and continuous locomotor demand.","Keep","The unloaded arm pull is not meaningful lat or biceps strength work; name overstates that component.","High"
"836","Squat with Back Squeeze","Bodyweight conditioning","Glutes;Quadriceps;UpperBack;MidBack;Trapezius","Strength;Stamina","Strength","Repeated squats meaningfully train lower-body strength or local endurance and can challenge stamina over 45 seconds.","Keep","Unloaded arm movement does not meaningfully train the back; the name overclaims the secondary action.","High"
"843","Standing Cobra Pose","Yoga","UpperBack;Shoulders;Chest;LowerBack;MidBack;Trapezius","","","The current asset cannot qualify because it demonstrates a different, equipment-assisted exercise.","Remove","Verified hold frame shows the demonstrator holding a large exercise ball, violating zero-equipment requirements and not depicting Standing Cobra.","High"
"845","Extended-Mountain Backline Reach and Lower","Standing mobility and movement practice","Hamstrings;LowerBack","Mobility","Mobility","The clip provides some overhead shoulder mobility, but does not show the named hamstring or backline action.","Reconsider","Material name-to-video mismatch: footage is essentially an arm raise and lower with no meaningful backline reach.","Medium"
"884","Boxing Slip","Boxing","Core","Balance;Mobility","Balance","Controlled lateral centre-of-mass shifts and trunk displacement can train dynamic postural control and trunk mobility.","Keep","Low-resolution sport footage and modest challenge make transfer less certain than stronger balance drills.","Medium"
"885","Boxing Roll","Boxing","Core;LowerBack","Balance;Strength;Stamina","Strength","Repeated crouching and lateral weight transfer train lower-body local strength, balance, and rhythmic conditioning.","Keep","Low-resolution footage, but the boxing roll pattern is clearly human-demonstrated and readable.","High"
"905","Wide-Plié Alternating Side Bend","Bodyweight conditioning","Glutes;Core;Quadriceps;Adductors","Strength;Mobility","Strength","Maintaining a deep wide plié while alternating trunk bends trains lower-body local endurance and lateral trunk or hip mobility.","Keep","Accurate human demonstration; no material concern.","High"
"906","Alternating Cross-and-Side Crunch","Bodyweight conditioning","Core","Balance;Strength;Stamina;Stepping","Strength","Repeated knee lifts and trunk crunches train trunk and hip local endurance while requiring single-support control, foot clearance, and continuous effort.","Keep","Human demonstration is clear; title could describe the alternating knee-lift pattern more directly.","High"
"910","Standing Pilates Knee-Lift Twist","Pilates","Core","Balance;Strength;Mobility;Stepping","Balance","Knee lifts with trunk rotation challenge single-leg control, foot clearance, trunk local endurance, and rotational range.","Keep","Accurate human demonstration; pace appears controlled rather than strongly aerobic.","High"
